Date,Close_GOOG,High_GOOG,Low_GOOG,Open_GOOG,Volume_GOOG,MA20,MA50,MA200,DailyReturn
2022-07-25,107.47,109.83,106.28,108.14,"28,289,900.00",112.58,111.99,130.49,0
2022-07-26,104.72,107.01,104.05,106.7,"36,626,600.00",112.03,111.84,130.32,-0.03
2022-07-27,112.83,113.62,107.68,108.86,"41,474,600.00",112.08,111.78,130.19,0.08
2022-07-28,113.81,113.92,111.09,112.03,"23,303,800.00",112.2,111.77,130.07,0.01
2022-07-29,115.85,116.11,112.46,112.63,"31,336,200.00",112.56,111.77,129.97,0.02
2022-08-01,114.7,116.32,113.91,114.74,"22,856,200.00",112.87,111.83,129.86,-0.01
2022-08-02,115.11,116.28,113.48,113.65,"17,911,000.00",112.97,111.94,129.73,0
2022-08-03,117.97,118.61,115.36,115.55,"25,302,800.00",113.15,112.12,129.62,0.02
2022-08-04,118.06,118.69,116.91,117.5,"15,757,700.00",113.13,112.27,129.5,0
2022-08-05,117.42,118.05,115.92,116.14,"15,615,700.00",113.03,112.51,129.37,-0.01
2022-08-08,117.34,120.04,117.03,118.31,"17,061,100.00",113.11,112.76,129.25,0
2022-08-09,116.7,117.4,115.77,117.19,"15,424,300.00",113.24,112.94,129.13,-0.01
2022-08-10,119.83,120.95,118.55,118.78,"20,497,000.00",113.67,113.09,129.04,0.03
2022-08-11,119.01,121.51,118.74,121.25,"16,671,600.00",114.08,113.21,128.95,-0.01
2022-08-12,121.82,121.82,119.58,120.34,"16,121,100.00",114.57,113.38,128.86,0.02
2022-08-15,122.04,122.42,120.74,121.38,"15,525,000.00",115.22,113.48,128.74,0
2022-08-16,121.68,122.39,120.71,121.49,"15,626,200.00",115.61,113.64,128.63,0
2022-08-17,119.5,121.32,119.38,120.11,"17,589,200.00",115.89,113.7,128.49,-0.02
2022-08-18,120.04,120.86,118.74,119.41,"15,652,000.00",116.18,113.78,128.37,0
2022-08-19,117.32,119.18,116.87,119.06,"20,187,000.00",116.66,113.79,128.24,-0.02
2022-08-22,114.29,115.71,113.89,115.31,"19,316,000.00",117,113.8,128.08,-0.03
